  tic; main; toc           % runs, computes, saves DataFile.mat, prints tables
Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 18 workers.
-4.000000e-01: Error is 3.668766e+04 with 25 iterations
8.000000e-01: Error is 4.054191e+04 with 25 iterations
6.000000e-01: Error is 3.530887e+04 with 32 iterations
-1.000000e-01: Error is 3.329996e+04 with 32 iterations
2.000000e-01: Error is 3.393882e+04 with 32 iterations
4.000000e-01: Error is 3.453493e+04 with 32 iterations
9.000000e-01: Error is 3.364775e+04 with 40 iterations
3.000000e-01: Error is 3.105619e+04 with 40 iterations
-4.000000e-01: Error is 3.284580e+04 with 32 iterations
-2.000000e-01: Error is 3.312738e+04 with 32 iterations
7.000000e-01: Error is 3.582546e+04 with 32 iterations
1.000000e-01: Error is 3.058957e+04 with 40 iterations
8.000000e-01: Error is 3.636018e+04 with 32 iterations
-1.000000e-01: Error is 3.023161e+04 with 40 iterations
6.000000e-01: Error is 3.203126e+04 with 40 iterations
7.000000e-01: Error is 3.249430e+04 with 40 iterations
2.000000e-01: Error is 3.080888e+04 with 40 iterations
4.000000e-01: Error is 3.134043e+04 with 40 iterations
-4.000000e-01: Error is 2.981669e+04 with 40 iterations
-2.000000e-01: Error is 3.007565e+04 with 40 iterations
1.000000e-01: Error is 2.777870e+04 with 50 iterations
-6.000000e-01: Error is 3.762930e+06 with 4 iterations
-5.001000e-01: Error is 3.848354e+06 with 4 iterations
9.000000e-01: Error is 3.051065e+04 with 50 iterations
3.000000e-01: Error is 2.819469e+04 with 50 iterations
8.000000e-01: Error is 3.296888e+04 with 40 iterations
6.000000e-01: Error is 2.906690e+04 with 50 iterations
-1.000000e-01: Error is 2.745963e+04 with 50 iterations
-8.000000e-01: Error is 3.810182e+06 with 4 iterations
2.000000e-01: Error is 2.797422e+04 with 50 iterations
-4.000000e-01: Error is 2.709122e+04 with 50 iterations
7.000000e-01: Error is 2.948226e+04 with 50 iterations
-9.000000e-01: Error is 3.833377e+06 with 4 iterations
-5.001000e-01: Error is 2.006685e+06 with 5 iterations
4.000000e-01: Error is 2.844882e+04 with 50 iterations
-2.000000e-01: Error is 2.732212e+04 with 50 iterations
-6.000000e-01: Error is 1.805436e+06 with 5 iterations
8.000000e-01: Error is 2.990526e+04 with 50 iterations
-8.000000e-01: Error is 1.909449e+06 with 5 iterations
-9.000000e-01: Error is 1.930845e+06 with 5 iterations
1.000000e-01: Error is 2.268763e+04 with 80 iterations
-1.000000e-01: Error is 2.243508e+04 with 80 iterations
9.000000e-01: Error is 2.485090e+04 with 80 iterations
-4.000000e-01: Error is 2.214727e+04 with 80 iterations
6.000000e-01: Error is 2.370816e+04 with 80 iterations
7.000000e-01: Error is 2.403807e+04 with 80 iterations
2.000000e-01: Error is 2.284215e+04 with 80 iterations
-5.001000e-01: Error is 3.769967e+05 with 8 iterations
4.000000e-01: Error is 2.321710e+04 with 80 iterations
3.000000e-01: Error is 2.301593e+04 with 80 iterations
-6.000000e-01: Error is 2.873009e+05 with 8 iterations
8.000000e-01: Error is 2.437336e+04 with 80 iterations
-2.000000e-01: Error is 2.232798e+04 with 80 iterations
-8.000000e-01: Error is 3.123000e+05 with 8 iterations
6.000000e-01: Error is 2.152286e+04 with 100 iterations
1.000000e-01: Error is 2.061078e+04 with 100 iterations
-5.001000e-01: Error is 2.121423e+05 with 10 iterations
9.000000e-01: Error is 2.254524e+04 with 100 iterations
-1.000000e-01: Error is 2.038458e+04 with 100 iterations
7.000000e-01: Error is 2.181901e+04 with 100 iterations
-9.000000e-01: Error is 2.920080e+05 with 8 iterations
-6.000000e-01: Error is 1.106210e+05 with 10 iterations
3.000000e-01: Error is 2.090390e+04 with 100 iterations
8.000000e-01: Error is 2.211759e+04 with 100 iterations
-4.000000e-01: Error is 2.012668e+04 with 100 iterations
2.000000e-01: Error is 2.074923e+04 with 100 iterations
4.000000e-01: Error is 2.108398e+04 with 100 iterations
-2.000000e-01: Error is 2.028977e+04 with 100 iterations
-8.000000e-01: Error is 1.304258e+05 with 10 iterations
6.000000e-01: Error is 1.953451e+04 with 125 iterations
-9.000000e-01: Error is 1.167304e+05 with 10 iterations
1.000000e-01: Error is 1.872166e+04 with 125 iterations
9.000000e-01: Error is 2.044497e+04 with 125 iterations
-1.000000e-01: Error is 1.851892e+04 with 125 iterations
2.000000e-01: Error is 1.884381e+04 with 125 iterations
3.000000e-01: Error is 1.898178e+04 with 125 iterations
8.000000e-01: Error is 2.006515e+04 with 125 iterations
-2.000000e-01: Error is 1.843446e+04 with 125 iterations
7.000000e-01: Error is 1.979873e+04 with 125 iterations
-4.000000e-01: Error is 1.828842e+04 with 125 iterations
4.000000e-01: Error is 1.914319e+04 with 125 iterations
-3.000000e-01: Error is 8.364957e+05 with 1 iterations
-3.000000e-01: Error is 1.470866e+07 with 2 iterations
-3.000000e-01: Error is 3.707926e+06 with 4 iterations
-3.000000e-01: Error is 1.881597e+06 with 5 iterations
-3.000000e-01: Error is 2.861337e+05 with 8 iterations
-3.000000e-01: Error is 1.120958e+05 with 10 iterations
5.001000e-01: Error is 7.924876e+05 with 1 iterations
5.001000e-01: Error is 1.371865e+07 with 2 iterations
5.001000e-01: Error is 3.461104e+06 with 4 iterations
5.001000e-01: Error is 1.765720e+06 with 5 iterations
-1.000000e-01: Error is 1.664573e+04 with 160 iterations
1.000000e-01: Error is 1.682240e+04 with 160 iterations
-5.001000e-01: Error is 1.520531e+05 with 16 iterations
-3.000000e-01: Error is 4.560422e+04 with 16 iterations
6.000000e-01: Error is 1.753463e+04 with 160 iterations
5.001000e-01: Error is 2.671883e+05 with 8 iterations
-6.000000e-01: Error is 4.556003e+04 with 16 iterations
9.000000e-01: Error is 1.833121e+04 with 160 iterations
5.001000e-01: Error is 8.665405e+04 with 10 iterations
-3.000000e-01: Error is 4.087655e+04 with 20 iterations
7.000000e-01: Error is 1.776673e+04 with 160 iterations
-7.000000e-01: Error is 8.569235e+05 with 1 iterations
3.000000e-01: Error is 1.705084e+04 with 160 iterations
8.000000e-01: Error is 1.799897e+04 with 160 iterations
5.001000e-01: Error is 4.812287e+04 with 16 iterations
-2.000000e-01: Error is 1.657180e+04 with 160 iterations
2.000000e-01: Error is 1.693038e+04 with 160 iterations
-4.000000e-01: Error is 1.644261e+04 with 160 iterations
-3.000000e-01: Error is 3.682262e+04 with 25 iterations
5.001000e-01: Error is 4.311887e+04 with 20 iterations
4.000000e-01: Error is 1.719172e+04 with 160 iterations
5.001000e-01: Error is 3.890928e+04 with 25 iterations
-7.000000e-01: Error is 1.503601e+07 with 2 iterations
-3.000000e-01: Error is 3.297735e+04 with 32 iterations
5.001000e-01: Error is 3.489584e+04 with 32 iterations
-3.000000e-01: Error is 2.993907e+04 with 40 iterations
-8.000000e-01: Error is 4.568360e+04 with 16 iterations
5.001000e-01: Error is 3.166248e+04 with 40 iterations
-3.000000e-01: Error is 2.720095e+04 with 50 iterations
-1.000000e-01: Error is 1.510307e+04 with 200 iterations
-9.000000e-01: Error is 4.519755e+04 with 16 iterations
1.000000e-01: Error is 1.525887e+04 with 200 iterations
-6.000000e-01: Error is 4.062684e+04 with 20 iterations
